current_future_dominance_bucket,n,mean_value,disagreement_rate
0,5007,0.0000,0.0094
1,5008,0.0146,0.0369
2,5008,0.1508,0.2574
3,5008,0.2862,0.1831
4,5008,0.4296,0.1631
5,5008,0.6471,0.3197
6,5008,0.9953,0.2650
7,5008,1.3371,0.2885
8,5008,1.7611,0.3728
9,5008,401867780814.4387,0.3423
